"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 00:00","2023","10","01","00:00","16.1","","11.3","","73","","0.0","","25","","12","","","","101.84","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 01:00","2023","10","01","01:00","15.6","","11.2","","75","","0.0","","24","","8","","","","101.82","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 02:00","2023","10","01","02:00","14.8","","11.7","","81","","0.0","","25","","5","","","","101.82","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 03:00","2023","10","01","03:00","14.2","","12.1","","87","","0.0","","22","","4","","","","101.84","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 04:00","2023","10","01","04:00","13.3","","11.8","","91","","0.0","","23","","3","","","","101.88","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 05:00","2023","10","01","05:00","13.2","","12.1","","93","","0.0","","22","","5","","","","101.90","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 06:00","2023","10","01","06:00","13.0","","12.0","","94","","0.0","","21","","5","","","","101.93","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 07:00","2023","10","01","07:00","14.0","","12.5","","91","","0.0","","23","","8","","","","101.95","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 08:00","2023","10","01","08:00","15.7","","13.2","","85","","0.0","","24","","7","","","","101.96","","","","","","NA"
"-73.93","45.43","STE-ANNE-DE-BELLEVUE 1","702FHL8","2023-10-01 09:00","2023","10","01","09:00","17.9","","13.8","","77","","0.0","","24","","6","","","","101.97","","","","","","NA"
